id,area,Sex,Age,No_GMU,Stage
Bear2,131.1184285,M,J,4,Subadult
Bear4,741.0954951,F,J,11,Subadult
Bear5,73.34737104,M,A,2,Adult
Bear6,761.2972885,M,A,12,Adult
Bear8,120.7892486,F,A,4,Adult
Bear10,187.6118191,M,A,4,Adult
Bear12,3142.937036,M,A,22,Adult
Bear13,417.3996636,F,J,7,Subadult
Bear14,2873.171858,M,J,32,Subadult
Bear15,629.9172849,M,A,8,Adult
Bear16,925.661456,F,A,17,Adult
Bear17,96.51793858,M,A,3,Adult
Bear18,2211.098131,M,J,28,Subadult
