Directory name,lat,lng
003002,37.47687201360846,139.9636451607207
003001,37.483686654734406,139.95752791468104
003000,37.48229040849732,139.95531777461463
002007,37.527121894361386,139.95322784080435
002006,37.526818453697544,139.95328872883164
002005,37.5252329467919,139.95625337235154
002004,37.52472241221126,139.95621045701046
002001,37.521917281663896,139.9530419649639
002002,37.52169604060899,139.95439379820837
002003,37.52034851104754,139.96185737235157
004001,37.55293774671662,139.79743988058786
004000,37.55761574567307,139.79795486468103
001012,37.462668836454,139.80216063557975
001009,37.46803469569934,139.80863332869544
001003,37.469865484333454,139.80896592261314
001011,37.470623332552826,139.80952382208795
001010,37.4711427521755,139.8095667374322
001001,37.47170474311175,139.80980277182536
001000,37.4721986104463,139.810124636907
001013,37.48397849649269,139.8156682512381
